House|$500 |9 Rockett Street, 
House|$500 |
Townhouse|$490 |2/702 Trouts Road, 
Townhouse|$490 |
House|$470 |
House|$470 |
House|$460 |4/702 Trouts Road, 
House|$460 |
Townhouse|$445 per week |2/8 Wynford Street, 
Townhouse|$445 per week |
Townhouse|$440 p.w. |10/48 Brickfield Road, 
Townhouse|$440 p.w. |
Townhouse|$440 |20/19 Brickfield Road, 
Townhouse|$440 |
Townhouse|$430 per week |11/37 Brickfield Road, 
Townhouse|$430 per week |
Apartment / Unit / Flat|Contact Agent |20/743 Trouts Road, 
Apartment / Unit / Flat|Contact Agent |
House|$475 |48 Windrest Ave, 
House|$475 |
House|$450 per week |21 Binowee Street, 
House|$450 per week |
House|$440 per week |41 Hutton Road, 
House|$440 per week |
House|$450 per week |7 Centre Street, 
House|$450 per week |
House|$400 |32 Tannlark Street, 
House|$400 |
Apartment / Unit / Flat|$200 |643a Robinson Rd, 
Apartment / Unit / Flat|$200 |
House|$495 Weekly |17 Pilbeam Place, 
House|$495 Weekly |
House|$495  per week |15 Dulendella Street, 
House|$495  per week |
House|$475 |53 Hilltop Avenue, 
House|$475 |
Townhouse|$470 |11 Emerald Place, 
Townhouse|$470 |
House|$450 Per Week |33 Torino Street, 
House|$450 Per Week |
House|$500 |9 Rockett Street, |ASPLEY
House|$500 ||
Townhouse|$490 |2/702 Trouts Road, |ASPLEY
Townhouse|$490 ||
House|$470 ||ASPLEY
House|$470 ||
House|$460 |4/702 Trouts Road, |ASPLEY
House|$460 ||
Townhouse|$445 per week |2/8 Wynford Street, |ASPLEY
Townhouse|$445 per week ||
Townhouse|$440 p.w. |10/48 Brickfield Road, |ASPLEY
Townhouse|$440 p.w. ||
Townhouse|$440 |20/19 Brickfield Road, |ASPLEY
Townhouse|$440 ||
Townhouse|$430 per week |11/37 Brickfield Road, |ASPLEY
Townhouse|$430 per week ||
Apartment / Unit / Flat|Contact Agent |20/743 Trouts Road, |ASPLEY
Apartment / Unit / Flat|Contact Agent ||
House|$475 |48 Windrest Ave, |ASPLEY
House|$475 ||
House|$450 per week |21 Binowee Street, |ASPLEY
House|$450 per week ||
House|$440 per week |41 Hutton Road, |ASPLEY
House|$440 per week ||
House|$450 per week |7 Centre Street, |ASPLEY
House|$450 per week ||
House|$400 |32 Tannlark Street, |ASPLEY
House|$400 ||
Apartment / Unit / Flat|$200 |643a Robinson Rd, |ASPLEY
Apartment / Unit / Flat|$200 ||
House|$495 Weekly |17 Pilbeam Place, |MCDOWALL
House|$495 Weekly ||
House|$495  per week |15 Dulendella Street, |ZILLMERE
House|$495  per week ||
House|$475 |53 Hilltop Avenue, |CHERMSIDE
House|$475 ||
Townhouse|$470 |11 Emerald Place, |BRIDGEMAN DOWNS
Townhouse|$470 ||
House|$450 Per Week |33 Torino Street, |ZILLMERE
House|$450 Per Week ||
