House|$580 per week |21 Messmate Street, 
House|$580 per week |
House|$560 per week |19 Tomago Street, 
House|$560 per week |
House|$780 per week |
House|$780 per week |
House|$500 |9 Rockett Street, 
House|$500 |
Townhouse|$490 |2/702 Trouts Road, 
Townhouse|$490 |
House|$470 |
House|$470 |
House|$460 |4/702 Trouts Road, 
House|$460 |
Townhouse|$445 per week |2/8 Wynford Street, 
Townhouse|$445 per week |
Townhouse|$440 p.w. |10/48 Brickfield Road, 
Townhouse|$440 p.w. |
Townhouse|$440 |20/19 Brickfield Road, 
Townhouse|$440 |
Townhouse|$430 per week |11/37 Brickfield Road, 
Townhouse|$430 per week |
Apartment / Unit / Flat|Contact Agent |20/743 Trouts Road, 
Apartment / Unit / Flat|Contact Agent |
House|$620 |11 Beira Street, 
House|$620 |
House|$550 per week |22 Agnew Street, 
House|$550 per week |
House|$595 |6 Barcroft Court, 
House|$595 |
House|$600 per week |463 Ellison Road, 
House|$600 per week |
House|$585 per week |479 Ellison Road, 
House|$585 per week |
House|$550 |1 Kakanui, 
House|$550 |
House|$475 |48 Windrest Ave, 
House|$475 |
House|$450 per week |21 Binowee Street, 
House|$450 per week |
House|$580 per week |21 Messmate Street, 
House|$580 per week |
House|$560 per week |19 Tomago Street, 
House|$560 per week |
House|$780 per week |
House|$780 per week |
House|$500 |9 Rockett Street, 
House|$500 |
Townhouse|$490 |2/702 Trouts Road, 
Townhouse|$490 |
House|$470 |
House|$470 |
House|$460 |4/702 Trouts Road, 
House|$460 |
Townhouse|$445 per week |2/8 Wynford Street, 
Townhouse|$445 per week |
Townhouse|$440 p.w. |10/48 Brickfield Road, 
Townhouse|$440 p.w. |
Townhouse|$440 |20/19 Brickfield Road, 
Townhouse|$440 |
Townhouse|$430 per week |11/37 Brickfield Road, 
Townhouse|$430 per week |
Apartment / Unit / Flat|Contact Agent |20/743 Trouts Road, 
Apartment / Unit / Flat|Contact Agent |
House|$620 |11 Beira Street, 
House|$620 |
House|$550 per week |22 Agnew Street, 
House|$550 per week |
House|$595 |6 Barcroft Court, 
House|$595 |
House|$600 per week |463 Ellison Road, 
House|$600 per week |
House|$585 per week |479 Ellison Road, 
House|$585 per week |
House|$550 |1 Kakanui, 
House|$550 |
House|$475 |48 Windrest Ave, 
House|$475 |
House|$450 per week |21 Binowee Street, 
House|$450 per week |
House|$580 per week |21 Messmate Street, 
House|$580 per week |
House|$560 per week |19 Tomago Street, 
House|$560 per week |
House|$780 per week |
House|$780 per week |
House|$500 |9 Rockett Street, 
House|$500 |
Townhouse|$490 |2/702 Trouts Road, 
Townhouse|$490 |
House|$470 |
House|$470 |
House|$460 |4/702 Trouts Road, 
House|$460 |
Townhouse|$445 per week |2/8 Wynford Street, 
Townhouse|$445 per week |
Townhouse|$440 p.w. |10/48 Brickfield Road, 
Townhouse|$440 p.w. |
Townhouse|$440 |20/19 Brickfield Road, 
Townhouse|$440 |
Townhouse|$430 per week |11/37 Brickfield Road, 
Townhouse|$430 per week |
Apartment / Unit / Flat|Contact Agent |20/743 Trouts Road, 
Apartment / Unit / Flat|Contact Agent |
House|$620 |11 Beira Street, 
House|$620 |
House|$550 per week |22 Agnew Street, 
House|$550 per week |
House|$595 |6 Barcroft Court, 
House|$595 |
House|$600 per week |463 Ellison Road, 
House|$600 per week |
House|$585 per week |479 Ellison Road, 
House|$585 per week |
House|$550 |1 Kakanui, 
House|$550 |
House|$475 |48 Windrest Ave, 
House|$475 |
House|$450 per week |21 Binowee Street, 
House|$450 per week |
House|$580 per week |21 Messmate Street, 
House|$580 per week |21 Messmate Street, 
House|$580 per week |21 Messmate Street, 
