Townhouse|$340 Weekly |5/15 Balcara Ave, 
Townhouse|$340 Weekly |
House|$430 Per Week |43 Balcara Avenue, 
House|$430 Per Week |
House|$470 per week |567 Beams Road, 
House|$470 per week |
House|$700 |20 Farndon Place, 
House|$700 |
House|$500 |6 Accolade Place, 
House|$500 |
House|$470 Weekly |7 Melicope Place, 
House|$470 Weekly |
Townhouse|$440 |8/36 Stay Place, 
Townhouse|$440 |
Townhouse|$435 |65/25 Northmarque street, 
Townhouse|$435 |
Townhouse|$415 |15/60 Cowie Rd, 
Townhouse|$415 |
House|$410 |14 Quantum Street, 
House|$410 |
Villa|$385 |15/39 Pitta Place, 
Villa|$385 |
House|$600 |25 Cawarra Street, 
House|$600 |
House|$490 |46 Highbridge Circuit, 
House|$490 |
House|$460 |20 Ibiza Place, 
House|$460 |
House|$450 per week |16/30 Slade Street, 
House|$450 per week |
Townhouse|$450 per week |19/31 Matthew Street, 
Townhouse|$450 per week |
House|$450 |21 Waterlily Circuit, 
House|$450 |
House|$430pw |5/212 Dorville Road, 
House|$430pw |
Townhouse|400 per week |23/111 Cowie Road, 
Townhouse|400 per week |
House|$380 per week |16/28 Sedgemoor Street, 
House|$380 per week |
Townhouse|$340 Weekly |5/15 Balcara Ave, 
Townhouse|$340 Weekly |
House|$430 Per Week |43 Balcara Avenue, 
House|$430 Per Week |
House|$470 per week |567 Beams Road, 
House|$470 per week |
House|$700 |20 Farndon Place, 
House|$700 |
House|$500 |6 Accolade Place, 
House|$500 |
House|$470 Weekly |7 Melicope Place, 
House|$470 Weekly |
Townhouse|$440 |8/36 Stay Place, 
Townhouse|$440 |
Townhouse|$435 |65/25 Northmarque street, 
Townhouse|$435 |
Townhouse|$415 |15/60 Cowie Rd, 
Townhouse|$415 |
House|$410 |14 Quantum Street, 
House|$410 |
Villa|$385 |15/39 Pitta Place, 
Villa|$385 |
House|$600 |25 Cawarra Street, 
House|$600 |
House|$490 |46 Highbridge Circuit, 
House|$490 |
House|$460 |20 Ibiza Place, 
House|$460 |
House|$450 per week |16/30 Slade Street, 
House|$450 per week |
Townhouse|$450 per week |19/31 Matthew Street, 
Townhouse|$450 per week |
House|$450 |21 Waterlily Circuit, 
House|$450 |
House|$430pw |5/212 Dorville Road, 
House|$430pw |
Townhouse|400 per week |23/111 Cowie Road, 
Townhouse|400 per week |
House|$380 per week |16/28 Sedgemoor Street, 
House|$380 per week |
Townhouse|$340 Weekly |5/15 Balcara Ave, 
Townhouse|$340 Weekly |
House|$430 Per Week |43 Balcara Avenue, 
House|$430 Per Week |
House|$470 per week |567 Beams Road, 
House|$470 per week |
House|$700 |20 Farndon Place, 
House|$700 |
House|$500 |6 Accolade Place, 
House|$500 |
House|$470 Weekly |7 Melicope Place, 
House|$470 Weekly |
Townhouse|$440 |8/36 Stay Place, 
Townhouse|$440 |
Townhouse|$435 |65/25 Northmarque street, 
Townhouse|$435 |
Townhouse|$415 |15/60 Cowie Rd, 
Townhouse|$415 |
House|$410 |14 Quantum Street, 
House|$410 |
Villa|$385 |15/39 Pitta Place, 
Villa|$385 |
House|$600 |25 Cawarra Street, 
House|$600 |
House|$490 |46 Highbridge Circuit, 
House|$490 |
House|$460 |20 Ibiza Place, 
House|$460 |
House|$450 per week |16/30 Slade Street, 
House|$450 per week |
Townhouse|$450 per week |19/31 Matthew Street, 
Townhouse|$450 per week |
House|$450 |21 Waterlily Circuit, 
House|$450 |
House|$430pw |5/212 Dorville Road, 
House|$430pw |
Townhouse|400 per week |23/111 Cowie Road, 
Townhouse|400 per week |
House|$380 per week |16/28 Sedgemoor Street, 
House|$380 per week |
